"都道府県名","市区町村名","大字・丁目名","小字・通称名","街区符号・地番","座標系番号","Ｘ座標","Ｙ座標","緯度","経度","住居表示フラグ","代表フラグ","更新前履歴フラグ","更新後履歴フラグ"
"神奈川県","藤沢市","宮原","","328","9","-67005","-39228.4","35.395266","139.401484","0","1","0","0"
"神奈川県","藤沢市","宮原","","331","9","-67005","-39228.4","35.395266","139.401484","0","1","0","0"
"神奈川県","藤沢市","宮原","","332","9","-67005","-39228.4","35.395266","139.401484","0","1","0","0"
"神奈川県","藤沢市","宮原","","1183","9","-67326.9","-39235.6","35.392364","139.40142","0","1","0","0"
"神奈川県","藤沢市","宮原","","1189","9","-67326.9","-39235.6","35.392364","139.40142","0","0","0","0"
"神奈川県","藤沢市","宮原","","1195","9","-67326.9","-39235.6","35.392364","139.40142","0","1","0","0"
"神奈川県","藤沢市","宮原","","1142","9","-67411.2","-39222.3","35.391604","139.401571","0","1","0","0"
"神奈川県","藤沢市","宮原","","1143","9","-67411.2","-39222.3","35.391604","139.401571","0","1","0","0"
"神奈川県","藤沢市","宮原","","1144","9","-67411.2","-39222.3","35.391604","139.401571","0","1","0","0"
"神奈川県","藤沢市","宮原","","1145","9","-67411.2","-39222.3","35.391604","139.401571","0","1","0","0"
"神奈川県","藤沢市","宮原","","1147","9","-67411.2","-39222.3","35.391604","139.401571","0","1","0","0"
"神奈川県","藤沢市","宮原","","1148","9","-67411.2","-39222.3","35.391604","139.401571","0","1","0","0"
"神奈川県","藤沢市","宮原","","1732","9","-66454.3","-39148.6","35.400233","139.402336","0","1","0","0"
"神奈川県","藤沢市","宮原","","1736","9","-66454.3","-39148.6","35.400233","139.402336","0","1","0","0"
"神奈川県","藤沢市","宮原","","1673","9","-66925.1","-39214.4","35.395986","139.401634","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1305","9","-68320.2","-39167.9","35.383413","139.402213","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1306","9","-68320.2","-39167.9","35.383413","139.402213","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1307","9","-68320.2","-39167.9","35.383413","139.402213","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1308","9","-68320.2","-39167.9","35.383413","139.402213","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1309","9","-68320.2","-39167.9","35.383413","139.402213","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1310","9","-68320.2","-39167.9","35.383413","139.402213","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1311","9","-68320.2","-39167.9","35.383413","139.402213","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1313","9","-68320.2","-39167.9","35.383413","139.402213","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1316","9","-68320.2","-39167.9","35.383413","139.402213","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1318","9","-68320.2","-39167.9","35.383413","139.402213","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1319","9","-68320.2","-39167.9","35.383413","139.402213","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1323","9","-68320.2","-39167.9","35.383413","139.402213","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1324","9","-68320.2","-39167.9","35.383413","139.402213","0","1","0","0"
"神奈川県","藤沢市","獺郷","","1325","9","-68320.2","-39167.9","35.383413","139.402213","0","1","0","0"
